job_title,company_name,company_address,estimated_salary_usd,work_hour,city,state,zipcode,work_type,latitude,longitude
"Data Engineer II, DevX -Dallas, Austin, or San Antonio, TX",H-E-B,"Dallas, TX 75220 (Northwest Dallas area)", 78.6K - 99.6K a year,full-time,Dallas,TX,75220,On site,32.7762719,-96.7968559
Entry Level - Healthcare Data Engineer,TRESUME,"Alpharetta, GA 30009","50,000 - 60,000 a year",full-time,Alpharetta,GA,30009,On site,34.0709576,-84.2747329
Senior Data Engineer,OneGlobe LLC,"Reston, VA 20191 (Hunter area)", 115K - 145K a year,full-time,Reston,VA,20191,On site,38.953055899999995,-77.35021396591173
"Sr Voice and Data Engineer (VoIP, WebEx, MDM)",NextGen Solutions Corporation,"Hybrid remote in Washington, DC 20024",30 - 45 an hour,full-time,"Washington, DC",DC,20024,Hybrid remote,38.8950368,-77.0365427
Senior Data Engineer,Maven LLC,Remote in Ohio, 88.3K - 112K a year,full-time,unknown,OH,unknown,Remote,unknown,unknown
DATA ENGINEER,Upward Health,"Hauppauge, NY 11788", 78.8K - 99.8K a year,full-time,Hauppauge,NY,11788,On site,40.8256537,-73.2026138
Data Engineer,Apple,"Austin, TX",unknown,unknown,Austin,TX,unknown,On site,30.2711286,-97.7436995
Data Engineer- TS/SCI with Poly Required,Leidos,"Aurora, CO 80011 (Norfolk Glen area)","66,300 - 137,700 a year",full-time,Aurora,CO,80011,On site,41.7571701,-88.3147539
Data Engineer,WellTrust Medical Group,"Charlotte, NC 28208 (Downtown Charlotte area)", 91.2K - 116K a year,unknown,Charlotte,NC,28208,On site,35.2272086,-80.8430827
Data Engineer/ Contract /US Citizens with Clearance,"Stark Dev, LLC","Washington, DC",From 70 an hour,contract,"Washington, DC",DC,unknown,On site,38.8950368,-77.0365427
Data Engineer,CINQCARE,"New York, NY 10004 (Financial District area)","100,000 - 120,000 a year",full-time,New York,NY,10004,On site,40.7127281,-74.0060152
Senior Data Engineer,Business Intelli Solutions Inc,"Houston, TX","From 130,000 a year",full-time,Houston,TX,unknown,On site,29.7589382,-95.3676974
Tech Lead Software Engineer - Data Lake,Southwest Airlines,"Dallas, TX 75235 (Northwest Dallas area)","From 151,400 a year",full-time,Dallas,TX,75235,On site,32.7762719,-96.7968559
Data Engineer,Apple,"Austin, TX",unknown,unknown,Austin,TX,unknown,On site,30.2711286,-97.7436995
Data Engineer,WellTrust Medical Group,"Charlotte, NC 28208 (Downtown Charlotte area)", 91.2K - 116K a year,unknown,Charlotte,NC,28208,On site,35.2272086,-80.8430827
Data Engineer/ Contract /US Citizens with Clearance,"Stark Dev, LLC","Washington, DC",From 70 an hour,contract,"Washington, DC",DC,unknown,On site,38.8950368,-77.0365427
Tech Lead Software Engineer - Data Lake,Southwest Airlines,"Dallas, TX 75235 (Northwest Dallas area)","From 151,400 a year",full-time,Dallas,TX,75235,On site,32.7762719,-96.7968559
Senior Software Engineer (Data),WALGREENS,"Deerfield, IL 60015","91,950 - 235,440 a year",unknown,Deerfield,IL,60015,On site,42.1711365,-87.8445119
Data Engineer,CINQCARE,"New York, NY 10004 (Financial District area)","100,000 - 120,000 a year",full-time,New York,NY,10004,On site,40.7127281,-74.0060152
Senior Data Engineer,Business Intelli Solutions Inc,"Houston, TX","From 130,000 a year",full-time,Houston,TX,unknown,On site,29.7589382,-95.3676974
Data Engineer,Blue Onion Labs,"Remote in New York, NY", 143K - 181K a year,full-time,New York,NY,unknown,Remote,40.7127281,-74.0060152
Data Scientist / ML Engineer (REMOTE /Contract),Glow Networks,Remote, 105K - 133K a year,contract,unknown,unknown,unknown,On site,unknown,unknown
Senior Data Engineer,First American Financial Corporation,"Remote in Santa Ana, CA","155,000 - 225,000 a year",unknown,Santa Ana,CA,unknown,Remote,33.7494951,-117.8732213
"Software Engineer, Autonomy Data Visualization",Nuro,"Mountain View, CA","167,000 - 250,000 a year",unknown,Mountain View,CA,unknown,On site,37.3893889,-122.0832101
"Data Platforms, ML Engineer",Bristol Myers Squibb,"Hybrid remote in Princeton, NJ", 109K - 137K a year,unknown,Princeton,NJ,unknown,Hybrid remote,40.3492744,-74.6592958
Data Engineer,GEI Consultants Inc,"Hybrid remote in Woburn, MA 01801",33.65 - 72.11 an hour,unknown,Woburn,MA,01801,Hybrid remote,42.4792618,-71.1522766
"Data Engineer, Product Analytics - Monetization",Meta,Remote,"134,000 - 194,000 a year",unknown,unknown,unknown,unknown,On site,unknown,unknown
Building Engineer -Data Center,ISS Facility Services (US),"Piscataway, NJ 08854",46.16 an hour,full-time,Piscataway,NJ,08854,On site,40.5462553,-74.4660408
Data Engineer,Delviom LLC,"Dallas, TX 75201 (Downtown area)","110,000 - 120,000 a year",full-time,Dallas,TX,75201,On site,32.7762719,-96.7968559
Senior Data Engineer,2U,"Remote in Lanham, MD","120,000 - 142,000 a year",full-time,Lanham,MD,unknown,Remote,38.965365000000006,-76.84179265424164
Full Stack React Developer/Azure Data Engineer,Mitchell Martin,"Hybrid remote in Township of Hamilton, NJ",unknown,contract,Township of Hamilton,NJ,unknown,Hybrid remote,40.9242314,-79.0808687
Data /Software Engineers,Ars Quanta,"Seattle, WA", 118K - 149K a year,full-time,Seattle,WA,unknown,On site,47.6038321,-122.330062
Data Engineer,Farm Credit East,"Enfield, CT 06082", 83.8K - 106K a year,full-time,Enfield,CT,06082,On site,51.6520851,-0.0810175
Senior Data Engineer,Foundry,"Rochester, NY", 112K - 142K a year,unknown,Rochester,NY,unknown,On site,43.157285,-77.615214
Data Engineer,Prizeout,"New York, NY","115,000 - 175,000 a year",full-time,New York,NY,unknown,On site,40.7127281,-74.0060152
Data Engineer,HealthVerity,"Hybrid remote in Philadelphia, PA", 111K - 140K a year,full-time,Philadelphia,PA,unknown,Hybrid remote,39.9527237,-75.1635262
Senior Data Engineer,"Surescripts, LLC","Hybrid remote in Minneapolis, MN 55402","119,633 - 146,218 a year",full-time,Minneapolis,MN,55402,Hybrid remote,44.9772995,-93.2654692
Data Engineer,"Calhoun International, LLC","Honolulu, HI", 90.9K - 115K a year,full-time,Honolulu,HI,unknown,On site,21.304547,-157.855676
Data Engineer - Officer - NY/NJ - Hybrid (HM),Citi,"Rutherford, NJ","92,570 - 129,150 a year",full-time,Rutherford,NJ,unknown,On site,35.3994626,-81.9023191
Senior Data Science Engineer,Adobe,"San Jose, CA 95110 (Downtown area)","140,200 - 261,400 a year",full-time,San Jose,CA,95110,On site,37.3361663,-121.890591
Data Engineer,ConsumerAffairs,"Remote in Austin, TX", 104K - 131K a year,full-time,Austin,TX,unknown,Remote,30.2711286,-97.7436995
Data Engineer,Bon Secours Mercy Health,"Cincinnati, OH 45237 (Roselawn area)", 81.1K - 103K a year,unknown,Cincinnati,OH,45237,On site,39.1014537,-84.5124602
Software Engineer (Big Data Focus) Level 3,Kforce,"Remote in Cincinnati, OH 45202",48.45 - 65.55 an hour,contract,Cincinnati,OH,45202,Remote,39.1014537,-84.5124602
"Senior Software Engineer, Data","TAE Technologies, Inc.","Remote in Foothill Ranch, CA 92610", 117K - 148K a year,full-time,Foothill Ranch,CA,92610,Remote,37.7501183,-121.4560477
Principal Data Engineer - Fort Collins,SturdyAI,"Fort Collins, CO 80524","110,000 - 160,000 a year",full-time,Fort Collins,CO,80524,On site,40.5508527,-105.0668085
Data Visualization Engineer,Ironclad Technology Services,"Washington, DC", 103K - 131K a year,unknown,"Washington, DC",DC,unknown,On site,38.8950368,-77.0365427
Staff Data Engineer,GoodLeap,Remote,"155,000 - 180,000 a year",full-time,unknown,unknown,unknown,On site,unknown,unknown
Data Analytic Engineer,FacilityConneX,"Nashua, NH 03062", 101K - 128K a year,unknown,Nashua,NH,03062,On site,42.7656251,-71.4677032
Senior Software Engineer - Perception Data Platform,Zoox,"Foster City, CA","180,000 - 293,000 a year",full-time,Foster City,CA,unknown,On site,37.5600336,-122.2688522
Associate Data Quality Engineer,Vertiv Co.,"Westerville, OH", 62.9K - 79.6K a year,unknown,Westerville,OH,unknown,On site,40.126139,-82.9295287
Data Engineer,JANUS Research Group,"Aberdeen Proving Ground, MD 21005", 110K - 140K a year,unknown,Aberdeen Proving Ground,MD,21005,On site,39.4698142,-76.12733056970433
Data Engineer,Cornerstone Defense,"Reston, VA", 107K - 135K a year,contract,Reston,VA,unknown,On site,38.953055899999995,-77.35021396591173
Senior Data QA Automation Engineer,T. Rowe Price,"Remote in Owings Mills, MD",unknown,full-time,Owings Mills,MD,unknown,Remote,39.41484355,-76.79182399596584
Data Engineer,Community Tech Alliance,Remote,"130,000 - 155,000 a year",full-time,unknown,unknown,unknown,On site,unknown,unknown
Data Engineer,LEAFWELL,Remote, 102K - 129K a year,unknown,unknown,unknown,unknown,On site,unknown,unknown
Data Engineer Hybrid/Remote,Parsons,Remote in Maryland,"110,600 - 199,100 a year",full-time,unknown,MD,unknown,Remote,unknown,unknown
"Wireless Data Path Development Engineer, Pixel",Google,"San Diego, CA (Sorrento Valley area)",unknown,full-time,San Diego,CA,unknown,On site,32.7174202,-117.1627728
Staff Software Engineer - Data Platform,ServiceNow,"Santa Clara, CA 95054","152,000 - 266,000 a year",full-time,Santa Clara,CA,95054,On site,37.2333253,-121.6846349
